Taxon.number,Genus.species,Species,On morphosource?,How many?,Use?,Link,Link2,Link3,Link4,Link5,
32,Dolichallabes,,N,,,,,,,,
32,Encheloclarias,,N,,,,,,,,
32,Gymnallabes,,N,,,,,,,,
32,Heterobranchus,,N,,,,,,,,
32,Horaglanis,,N,,,,,,,,
32,Platyallabes,,N,,,,,,,,
32,Platyclarias,,N,,,,,,,,
32,Tanganikallabes,,N,,,,,,,,
32,Uegitglanis,,N,,,,,,,,
32,Xenoclarias,,N,,,,,,,,
33,Bagrichthys,,N,,,,,,,,
33,Bagroides,,N,,,,,,,,
33,Bagrus,,N,,,,,,,,
33,Batasio,,N,,,,,,,,
33,Chandramara,,N,,,,,,,,
33,Coreobagrus,,N,,,,,,,,
33,Hemibagrus,,N,,,,,,,,
33,Hemileiocassis,,N,,,,,,,,
33,Horabagrus,,N,,,,,,,,
33,Hyalobagrus,,N,,,,,,,,
33,Leiocassis,,N,,,,,,,,
33,Mystus,,Y,2,,https://www.morphosource.org/Detail/SpecimenDetail/Show/specimen_id/3857,https://www.morphosource.org/Detail/SpecimenDetail/Show/specimen_id/11868,,,,
33,Nanobagrus,,N,,,,,,,,
33,Pelteobagrus,,N,,,,,,,,
33,Pseudobagrus,,N,,,,,,,,
33,Pseudomystus,,N,,,,,,,,
33,Rama,,N,,,,,,,,
33,Rita,,Y,1,,https://www.morphosource.org/Detail/SpecimenDetail/Show/specimen_id/11856,,,,,
33,Sperata,,N,,,,,,,,
33,Tachysurus,,N,,,,,,,,
34,Bathylychnops,,N,,,,,,,,
34,Dolichopteroides,,N,,,,,,,,
34,Dolichopteryx,,Y,1,,https://www.morphosource.org/Detail/SpecimenDetail/Show/specimen_id/11377,,,,,
34,Ioichthys,,N,,,,,,,,
34,Macropinna,,N,,,,,,,,
34,Opisthoproctus,,N,,,,,,,,
34,Rhynchohyalus,,N,,,,,,,,
34,Winteria,,N,,,,,,,,
35,Glossanodon semifasciatus,,N,,,,,,,,
36,Esox,,Y,1,,https://www.morphosource.org/Detail/SpecimenDetail/Show/specimen_id/6211,,,,,
37,Salmo salar,,N,,,,,,,,
38,Oncorhynchus,,N,,,,,,,,
39,Thymallus arcticus,,N,,,,,,,,
40,Hypomesus pretiosus,,N,,,,,,,,
41,Bonapartia,,N,,,,,,,,
41,Cyclothone,,N,,,,,,,,
41,Diplophos,,N,,,,,,,,
41,Gonostoma,,Y,1,,https://www.morphosource.org/Detail/MediaDetail/Show/media_id/16499,,,,,
41,Manducus,,N,,,,,,,,
41,Margrethia,,N,,,,,,,,
41,Sigmops,,N,,,,,,,,
41,Triplophos,,N,,,,,,,,
41,Ichthyococcus,,Y,1,,https://www.morphosource.org/Detail/SpecimenDetail/Show/specimen_id/13261,,,,,
41,Phosichthys,,N,,,,,,,,
41,Pollichthys,,N,,,,,,,,
41,Polymetme,,N,,,,,,,,
41,Vinciguerria,,N,,,,,,,,
41,Woodsia,,N,,,,,,,,
41,Yarrella,,N,,,,,,,,
41,Araiophos,,N,,,,,,,,
41,Argyripnus,,N,,,,,,,,
41,Argyropelecus,,Y,4,,https://www.morphosource.org/Detail/SpecimenDetail/Show/specimen_id/6604,https://www.morphosource.org/Detail/SpecimenDetail/Show/specimen_id/6605,https://www.morphosource.org/Detail/SpecimenDetail/Show/specimen_id/6607,https://www.morphosource.org/Detail/SpecimenDetail/Show/specimen_id/6606,,
41,Danaphos,,N,,,,,,,,
41,Maurolicus,,N,,,,,,,,
41,Polyipnus,,Y,1,,https://www.morphosource.org/Detail/SpecimenDetail/Show/specimen_id/6536,,,,,
41,Sonoda,,N,,,,,,,,
41,Sternoptyx,,Y,1,,https://www.morphosource.org/Detail/SpecimenDetail/Show/specimen_id/6599,https://www.morphosource.org/Detail/SpecimenDetail/Show/specimen_id/6601,https://www.morphosource.org/Detail/SpecimenDetail/Show/specimen_id/6603,,,
41,Thorophos,,N,,,,,,,,
41,Valenciennellus,,N,,,,,,,,
41,Aristostomias,,N,,,,,,,,
41,Astronesthes,,N,,,,,,,,
41,Bathophilus,,N,,,,,,,,
41,Borostomias,,Y,1,,https://www.morphosource.org/Detail/SpecimenDetail/Show/specimen_id/13333,,,,,
41,Chauliodus,,Y,1,,https://www.morphosource.org/Detail/SpecimenDetail/Show/specimen_id/6206,,,,,
41,Chirostomias,,N,,,,,,,,
41,Echiostoma,,Y,1,,https://www.morphosource.org/Detail/MediaDetail/Show/media_id/26655,,,,,
41,Eupogonesthes,,N,,,,,,,,
41,Eustomias,,Y,1,,https://www.morphosource.org/Detail/SpecimenDetail/Show/specimen_id/6530,,,,,
41,Flagellostomias,,N,,,,,,,,
41,Grammatostomias,,N,,,,,,,,
41,Heterophotus,,N,,,,,,,,
41,Idiacanthus,,N,,,,,,,,
41,Leptostomias,,N,,,,,,,,
41,Malacosteus,,N,,,,,,,,
41,Melanostomias,,N,,,,,,,,
41,Neonesthes,,N,,,,,,,,
41,Odontostomias,,N,,,,,,,,
41,Opostomias,,N,,,,,,,,
41,Pachystomias,,N,,,,,,,,
41,Photonectes,,N,,,,,,,,
41,Photostomias,,N,,,,,,,,
41,Rhadinesthes,,N,,,,,,,,
41,Stomias,,Y,2,,https://www.morphosource.org/Detail/SpecimenDetail/Show/specimen_id/6621,https://www.morphosource.org/Detail/SpecimenDetail/Show/specimen_id/13256,,,,
41,Tactostoma,,N,,,,,,,,
41,Thysanactis,,N,,,,,,,,
41,Trigonolampa,,N,,,,,,,,
42,Alepisaurus,,N,,,,,,,,
43,Harpadon,,N,,,,,,,,
43,Saurida,,N,,,,,,,,
43,Synodus,,N,,,,,,,,
44,Benthosema,,N,,,,,,,,
44,Bolinichthys,,N,,,,,,,,
44,Centrobranchus,,N,,,,,,,,
44,Ceratoscopelus,,N,,,,,,,,
44,Diaphus,,N,,,,,,,,
44,Diogenichthys,,N,,,,,,,,
44,Electrona,,N,,,,,,,,
44,Gonichthys,,N,,,,,,,,
44,Gymnoscopelus,,N,,,,,,,,
44,Hintonia,,N,,,,,,,,
44,Hygophum,,N,,,,,,,,
44,Idiolychnus,,N,,,,,,,,
44,Krefftichthys,,N,,,,,,,,
44,Lampadena,,N,,,,,,,,
44,Lampanyctodes,,N,,,,,,,,
44,Lampanyctus,,N,,,,,,,,
44,Lampichthys,,N,,,,,,,,
44,Lepidophanes,,N,,,,,,,,
44,Lobianchia,,N,,,,,,,,
44,Loweina,,N,,,,,,,,
44,Metelectrona,,N,,,,,,,,
44,Myctophum,,N,,,,,,,,
44,Nannobrachium,,N,,,,,,,,
44,Notolychnus,,N,,,,,,,,
44,Notoscopelus,,N,,,,,,,,
44,Parvilux,,N,,,,,,,,
44,Protomyctophum,,N,,,,,,,,
44,Scopelopsis,,N,,,,,,,,
44,Stenobrachius,,N,,,,,,,,
44,Symbolophorus,,N,,,,,,,,
44,Taaningichthys,,N,,,,,,,,
44,Tarletonbeania,,N,,,,,,,,
44,Triphoturus,,N,,,,,,,,
45,Gadus morhua,,N,,,,,,,,
46,Gadus macrocephalus,,N,,,,,,,,
47,Coryphaena hippurus,,Y,1,,https://www.morphosource.org/Detail/SpecimenDetail/Show/specimen_id/12469,,,,,
48,Agrostichthys,,N,,,,,,,,
48,Regalecus,,N,,,,,,,,
49,Desmodema,,Y,1,,https://www.morphosource.org/Detail/SpecimenDetail/Show/specimen_id/13307,,,,,
49,Trachipterus,,N,,,,,,,,
49,Zu,,N,,,,,,,,
50,Lampris,,N,,,,,,,,
51,Monocentris,,Y,1,,https://www.morphosource.org/Detail/SpecimenDetail/Show/specimen_id/13311,,,,,
52,Anomalops,,N,,,,,,,,
52,Kryptophanaron,,N,,,,,,,,
52,Parmops,,N,,,,,,,,
52,Photoblepharon,,N,,,,,,,,
52,Phthanophaneron,,N,,,,,,,,
52,Protoblepharon,,N,,,,,,,,
53,Holocentrus adscensionis,,N,,,,,,,,
54,Porogadus miles,,Y,1,,https://www.morphosource.org/Detail/MediaDetail/Show/media_id/16467,,,,,
55,Porichthys notatus,,N,,,,,,,,
56,Allenbatrachus,,Y,1,,https://www.morphosource.org/Detail/SpecimenDetail/Show/specimen_id/7950,,,,,
56,Amphichthys,,Y,1,,https://www.morphosource.org/Detail/SpecimenDetail/Show/specimen_id/6277,,,,,
56,Aphos,,Y,1,,https://www.morphosource.org/Detail/SpecimenDetail/Show/specimen_id/7082,,,,,
56,Austrobatrachus,,N,,,,,,,,
56,Barchatus,,Y,2,,https://www.morphosource.org/Detail/SpecimenDetail/Show/specimen_id/6689,https://www.morphosource.org/Detail/SpecimenDetail/Show/specimen_id/6687,,,,
56,Batrachoides,,Y,7,,https://www.morphosource.org/Search/Index?search=Batrachoides,,,,,
